RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMCPSRMB02YA5Q03L,31-Jan-2013,14:10:06,31-Jan-2013,22:10:06,0.79,0.39
AMCPSRMB02YA5Q03L,01-Feb-2013,09:33:57,01-Feb-2013,17:33:57,0.79,0.39
AMCPSRMB02YA5Q03L,01-Feb-2013,09:34:02,01-Feb-2013,17:34:02,0.79,0.39
AMCPSRMB02YA5Q03L,01-Feb-2013,09:34:33,01-Feb-2013,17:34:33,0.79,0.38
AMCPSRMB02YA5Q03L,01-Feb-2013,09:34:34,01-Feb-2013,17:34:34,0.79,0.38
AMCPSRMB02YA5Q03L,01-Feb-2013,09:34:43,01-Feb-2013,17:34:43,0.79,0.39
AMCPSRMB02YA5Q03L,01-Feb-2013,09:34:44,01-Feb-2013,17:34:44,0.79,0.39
AMCPSRMB02YA5Q03L,01-Feb-2013,11:25:56,01-Feb-2013,19:25:56,0.79,0.39
AMCPSRMB02YA5Q03L,04-Feb-2013,03:12:16,04-Feb-2013,11:12:16,0.79,0.39
AMCPSRMB02YA5Q03L,04-Feb-2013,03:58:44,04-Feb-2013,11:58:44,0.79,0.39
AMCPSRMB02YA5Q03L,05-Feb-2013,00:27:46,05-Feb-2013,08:27:46,0.79,0.39
AMCPSRMB02YA5Q03L,05-Feb-2013,21:43:27,06-Feb-2013,05:43:27,0.79,0.39
AMCPSRMB02YA5Q03L,06-Feb-2013,19:02:07,07-Feb-2013,03:02:07,0.79,0.39
AMCPSRMB02YA5Q03L,07-Feb-2013,16:20:32,08-Feb-2013,00:20:32,0.79,0.39
AMCPSRMB02YA5Q03L,08-Feb-2013,13:39:40,08-Feb-2013,21:39:40,0.79,0.39
AMCPSRMB02YA5Q03L,11-Feb-2013,05:38:39,11-Feb-2013,13:38:39,0.79,0.39
AMCPSRMB02YA5Q03L,12-Feb-2013,02:58:20,12-Feb-2013,10:58:20,0.79,0.39
AMCPSRMB02YA5Q03L,12-Feb-2013,23:46:01,13-Feb-2013,07:46:01,0.79,0.39
AMCPSRMB02YA5Q03L,13-Feb-2013,00:18:44,13-Feb-2013,08:18:44,0.79,0.39
AMCPSRMB02YA5Q03L,13-Feb-2013,21:39:52,14-Feb-2013,05:39:52,0.79,0.39
AMCPSRMB02YA5Q03L,14-Feb-2013,03:00:12,14-Feb-2013,11:00:12,0.79,0.39
AMCPSRMB02YA5Q03L,14-Feb-2013,19:02:19,15-Feb-2013,03:02:19,0.79,0.39
AMCPSRMB02YA5Q03L,15-Feb-2013,16:25:39,16-Feb-2013,00:25:39,0.79,0.39
AMCPSRMB02YA5Q03L,18-Feb-2013,08:39:12,18-Feb-2013,16:39:12,0.79,0.39
AMCPSRMB02YA5Q03L,19-Feb-2013,06:04:05,19-Feb-2013,14:04:05,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,03:29:16,20-Feb-2013,11:29:16,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:45:01,20-Feb-2013,15:45:01,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:45:03,20-Feb-2013,15:45:03,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:45:04,20-Feb-2013,15:45:04,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:46:34,20-Feb-2013,15:46:34,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:46:35,20-Feb-2013,15:46:35,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:46:37,20-Feb-2013,15:46:37,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:46:38,20-Feb-2013,15:46:38,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:51:10,20-Feb-2013,15:51:10,0.79,0.39
AMCPSRMB02YA5Q03L,20-Feb-2013,07:51:12,20-Feb-2013,15:51:12,0.79,0.39
AMCPSRMB02YA5Q03L,21-Feb-2013,00:55:30,21-Feb-2013,08:55:30,0.79,0.39
AMCPSRMB02YA5Q03L,21-Feb-2013,02:21:09,21-Feb-2013,10:21:09,0.79,0.39
AMCPSRMB02YA5Q03L,21-Feb-2013,02:21:11,21-Feb-2013,10:21:11,0.79,0.39
AMCPSRMB02YA5Q03L,21-Feb-2013,22:22:37,22-Feb-2013,06:22:37,0.79,0.39
AMCPSRMB02YA5Q03L,22-Feb-2013,19:50:29,23-Feb-2013,03:50:29,0.79,0.39
AMCPSRMB02YA5Q03L,25-Feb-2013,01:32:28,25-Feb-2013,09:32:28,0.79,0.39
AMCPSRMB02YA5Q03L,25-Feb-2013,12:16:38,25-Feb-2013,20:16:38,0.79,0.39
AMCPSRMB02YA5Q03L,26-Feb-2013,08:41:44,26-Feb-2013,16:41:44,0.79,0.39
AMCPSRMB02YA5Q03L,26-Feb-2013,09:47:20,26-Feb-2013,17:47:20,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,01:32:55,27-Feb-2013,09:32:55,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,01:56:51,27-Feb-2013,09:56:51,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,01:56:52,27-Feb-2013,09:56:52,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,01:56:53,27-Feb-2013,09:56:53,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,01:56:55,27-Feb-2013,09:56:55,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,02:20:35,27-Feb-2013,10:20:35,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,02:20:36,27-Feb-2013,10:20:36,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,02:20:37,27-Feb-2013,10:20:37,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,02:20:38,27-Feb-2013,10:20:38,0.79,0.39
AMCPSRMB02YA5Q03L,27-Feb-2013,07:18:23,27-Feb-2013,15:18:23,0.79,0.39
AMCPSRMB02YA5Q03L,28-Feb-2013,04:49:36,28-Feb-2013,12:49:36,0.79,0.39
AMCPSRMB02YA5Q03L,01-Mar-2013,02:29:38,01-Mar-2013,10:29:38,0.79,0.39
AMCPSRMB02YA5Q03L,03-Mar-2013,19:29:40,04-Mar-2013,03:29:40,0.79,0.39
AMCPSRMB02YA5Q03L,03-Mar-2013,22:37:57,04-Mar-2013,06:37:57,0.79,0.39
AMCPSRMB02YA5Q03L,04-Mar-2013,09:40:40,04-Mar-2013,17:40:40,0.79,0.39
AMCPSRMB02YA5Q03L,04-Mar-2013,09:45:53,04-Mar-2013,17:45:53,0.79,0.39
AMCPSRMB02YA5Q03L,04-Mar-2013,17:10:08,05-Mar-2013,01:10:08,0.79,0.39
AMCPSRMB02YA5Q03L,05-Mar-2013,14:50:41,05-Mar-2013,22:50:41,0.79,0.39
AMCPSRMB02YA5Q03L,06-Mar-2013,12:31:59,06-Mar-2013,20:31:59,0.79,0.39
AMCPSRMB02YA5Q03L,07-Mar-2013,01:57:07,07-Mar-2013,09:57:07,0.79,0.39
